Arise	Arose	Arisen	Nadarzać się
Awake	Awoke	Awoken	Obudzić się
Be	Was	Been	Być
Bear	Bore	Borne	Ponieść
Beat	Beat	Beaten	Pobić
Become	Became	Become	Zostać
Begin	Began	Begun	Zacząć
Bend	Bent	Bent	Zginać
Bet	Bet	Bet	Zakładać
Bind 	Bound	Bound	Związywać
Bite	Bit	Bitten	Gryźć
Bleed	Bled	Bled	Krwawić
Blow	Blew	Blown	Dmuchać
Break	Broke	Broken	Rozbić
Bring	Brought	Brought	Przynieść
Build	Built	Built	Budować
Burn	Burnt	Burnt	Palić
Burst	Burst	Burst	Pękać
Buy	Bought	Bought	Kupić
Cast	Cast	Cast	Odlewać
Catch	Caught	Caught	Złapać
Choose 	Chose	Chosen	Wybrać
Cling	Clung	Clung	Trzymać się
Come	Came	Came	Przyjść
Cost	Cost	Cost	Kosztować
Creep	Crept	Crept	Skradać się
Cut	Cut	Cut	Ciąć
Deal	Dealt	Dealt	Handlować
Dig	Dug	Dug	Kopać
Do	Did	Done	Robić
Dive	Dived	Dived	Nurkować
Draw	Drew	Drawn	Rysować
Dream	Dreamt	Dreamt	Śnić
Drive	Drove	Driven	Jechać
Drink	Drank	Drunk	Pić
Dwel	Dwelt	Dwelt	Zamieszkiwać
Eat	Ate	Eaten	Jeść
Fall	Fell	Fallen	Spadać
Feed	Fed	Fed	Karmić
Feel	Felt	Felt	Czuć
Fight	Fought	Fought	Walczyć
Find	Found	Found	Znaleźć
Fit	Fit	Fit	Pasować
Flee	Fled	Fled	Uciekać
Fly	Flew	Flown	Latać
Forbid	Forbade	Forbidden	Zakazać
Forecast	Forecast	Forecast	Prognozować
Forget	Forgot	Forgotten	Zapomnieć
Freeze	Froze	Frozen	Zamrozić
Get	Got	Got	Dostać
Give	Gave	Given	Dać
Go	Went	Gone	Iść
Grow	Grew	Grown	Rosnąć	
Hang	Hung	Hung	Wisieć
Have	Had	Had	Mieć
Hear	Heard	Heard	Słyszeć
Hide	Hid	Hidden	Kryć
Hit	Hit	Hit	Uderzyć
Hold	Held	Held	Trzymać
Hurt	Hurt	Hurt	Boleć
Keep	Kept	Kept	Trzymać
Kneel	Knelt	Knelt	Uklęknąć
Knit	Knit	Knit	Robić na drutach
Know	Knew	Known	Wiedzieć
Lay	Laid	Laid	Leżeć
Lead	Led	Led	Prowadzić
Lean	Leant	Leant	Przechylać się 
Leap	Leapt	Leapt	Przeskoczyć
Learn	Learnt	Learnt	Uczyć się
Leave	Left	Left	Wyjść
Lend	Lent	Lent	Pożyczyć
Let	Let	Let	Zezwolić
Lie	Lay	Lain	Leżeć
Light	Lit	Lit	Zapalać
Lose	Lost	Lost	Zgubić
Make	Made	Made	Zrobić
Mean	Meant	Meant	Znaczyć
Meet	Met	Met	Spotkać
Mow	Mown	Mown	Kosić
Pay	Paid	Paid	Płacić
Prove	Proved	Proven	Udowodnić
Put	Put	Put	Położyć
Quit	Quit	Quit	Rzucać
Read	Read	Read	Czytać
Ride	Rode	Ridden	Jeździć
Rise	Rose	Risen	Wzrastać
Ring	Rang	Rung	Dzwonić
Run	Ran	Run	Biegać
Saw	Sawed	Sawn	Piłować
Say	Said	Said	Mówić
See	Saw	Seen	Widzieć
Seek	Sought	Sought	Ubiegać się
Sell	Sold	Sold	Sprzedać
Send	Sent	Sent	Wysłać
Set	Set	Set	Ustawić
Sew	Sewed	Sewn	Szyć
Shake	Shook	Shaken	Wstrząsnąć
Shear	Sheared	Shorn	Ostrzyc
Shed	Shed	Shed	Zrzucać
Shine	Shone	Shone	Błyszczeć
Shoot	Shot	Shot	Strzelać
Show	Showed	Shown	Pokazać
Shrink	Shrank	Shrunk	Skurczyć 
Shut	Shut	Shut	Zamykać
Sing	Sang	Sung	Śpiewać
Sit	Sat	Sat	Siedzieć
Sleep	Slept	Slept	Spać
Slide	Slid	Slid	Ślizgać
Smell	Smelt	Smelt	Wąchać
Sow	Sowed	Sown	Siać
Speak	Spoke	Spoken	Mówić
Speed	Sped	Sped	Pędzić
Spell	Spelt	Spelt	Literować
Spend	Spent	Spent	Wydawać
Spin	Spun	Spun	Kręcić
Spill	Spilt	Spilt	Wylać
Split	Split	Split	Podzielić
Spit	Spat	Spat	Pluć
Spoil	Spoilt	Spoilt	Zepsuć 
Spread	Spread	Spread	Rozkładać
Spring	Sprang	Sprung	Skakać
Stand	Stood	Stood	Stać
Steal	Stole	Stolen	Kraść
Stick	Stuck	Stuck	Wbijać
Sting	Stung	Stung	Użądlić
Stink	Stank	Stunk	Cuchnąć
Strike	Struck	Struck	Uderzyć
Strive	Strove	Striven	Usiłować
Swear	Swore	Sworn	Przysiąc
Sweep	Swept	Swept	Zamiatać
Swell	Swelled	Swollen	Puchnąć
Swim	Swim/swam	Swum	Pływać	
Swing	Swung	Swung	Kołysać
Take	Took	Taken	Wziąć
Teach	Taught	Taught	Uczyć
Tear	Tore	Torn	Drzeć
Tell	Told	Told	Powiedzieć
Think	Thought	Thought	Myśleć
Throw	Threw	Thrown	Rzucić
Thrust	Thrust	Thrust	Pchnąć
Tread	Trod	Trodden	Nastąpić
Understand	Understood	Understood	Zrozumieć
Wake	Woke	Woken	Obudzić	
Wear	Wore	Worn	Nosić
Weave	Wove	Woven	Pleść
Weep	Wept	Wept	Płakać
Wet	Wet	Wet	Zmoczyć
Win	Won	Won	Wygrać
Wind	Wound	Wound	Nakręcać
Wring	Wrung	Wrung	Wymuszać
Write	Wrote	Written	Napisać
